attack_type,target_ip,src_ip,icmp_type,icmp_code,description,pkt_count,window_start,window_end,duration_sec,pps,unique_srcs
Distributed DoS (DDoS),192.168.56.63,Multiple (303 Spoofed/Botnet IPs),Mixed,Mixed,Nhiều IP phân tán cùng dội bom 1 mục tiêu,304,1778657038.390269,1778657039.390169,0.9999,304.03,303
Distributed DoS (DDoS),192.168.56.63,Multiple (303 Spoofed/Botnet IPs),Mixed,Mixed,Nhiều IP phân tán cùng dội bom 1 mục tiêu,304,1778657038.393569,1778657039.393469,0.9999,304.03,303
Distributed DoS (DDoS),192.168.56.63,Multiple (303 Spoofed/Botnet IPs),Mixed,Mixed,Nhiều IP phân tán cùng dội bom 1 mục tiêu,304,1778657038.396869,1778657039.396769,0.9999,304.03,303
Distributed DoS (DDoS),192.168.56.63,Multiple (303 Spoofed/Botnet IPs),Mixed,Mixed,Nhiều IP phân tán cùng dội bom 1 mục tiêu,304,1778657038.400169,1778657039.400069,0.9999,304.03,303
Distributed DoS (DDoS),192.168.56.63,Multiple (303 Spoofed/Botnet IPs),Mixed,Mixed,Nhiều IP phân tán cùng dội bom 1 mục tiêu,304,1778657038.403469,1778657039.403369,0.9999,304.03,303
Distributed DoS (DDoS),192.168.56.63,Multiple (303 Spoofed/Botnet IPs),Mixed,Mixed,Nhiều IP phân tán cùng dội bom 1 mục tiêu,304,1778657038.406769,1778657039.406669,0.9999,304.03,303
Distributed DoS (DDoS),192.168.56.63,Multiple (303 Spoofed/Botnet IPs),Mixed,Mixed,Nhiều IP phân tán cùng dội bom 1 mục tiêu,304,1778657038.410069,1778657039.409969,0.9999,304.03,303
Distributed DoS (DDoS),192.168.56.63,Multiple (303 Spoofed/Botnet IPs),Mixed,Mixed,Nhiều IP phân tán cùng dội bom 1 mục tiêu,304,1778657038.413369,1778657039.413269,0.9999,304.03,303
Distributed DoS (DDoS),192.168.56.63,Multiple (303 Spoofed/Botnet IPs),Mixed,Mixed,Nhiều IP phân tán cùng dội bom 1 mục tiêu,304,1778657038.416669,1778657039.416569,0.9999,304.03,303
Distributed DoS (DDoS),192.168.56.63,Multiple (303 Spoofed/Botnet IPs),Mixed,Mixed,Nhiều IP phân tán cùng dội bom 1 mục tiêu,304,1778657038.419969,1778657039.419869,0.9999,304.03,303
Distributed DoS (DDoS),192.168.56.63,Multiple (303 Spoofed/Botnet IPs),Mixed,Mixed,Nhiều IP phân tán cùng dội bom 1 mục tiêu,304,1778657038.423269,1778657039.423169,0.9999,304.03,303
Distributed DoS (DDoS),192.168.56.63,Multiple (303 Spoofed/Botnet IPs),Mixed,Mixed,Nhiều IP phân tán cùng dội bom 1 mục tiêu,304,1778657038.426569,1778657039.426469,0.9999,304.03,303
Distributed DoS (DDoS),192.168.56.63,Multiple (303 Spoofed/Botnet IPs),Mixed,Mixed,Nhiều IP phân tán cùng dội bom 1 mục tiêu,304,1778657038.429869,1778657039.429769,0.9999,304.03,303
Distributed DoS (DDoS),192.168.56.63,Multiple (303 Spoofed/Botnet IPs),Mixed,Mixed,Nhiều IP phân tán cùng dội bom 1 mục tiêu,304,1778657038.433169,1778657039.433069,0.9999,304.03,303
Distributed DoS (DDoS),192.168.56.63,Multiple (303 Spoofed/Botnet IPs),Mixed,Mixed,Nhiều IP phân tán cùng dội bom 1 mục tiêu,304,1778657038.436469,1778657039.436369,0.9999,304.03,303
Distributed DoS (DDoS),192.168.56.63,Multiple (303 Spoofed/Botnet IPs),Mixed,Mixed,Nhiều IP phân tán cùng dội bom 1 mục tiêu,304,1778657038.439769,1778657039.439669,0.9999,304.03,303
Distributed DoS (DDoS),192.168.56.63,Multiple (303 Spoofed/Botnet IPs),Mixed,Mixed,Nhiều IP phân tán cùng dội bom 1 mục tiêu,304,1778657038.443069,1778657039.442969,0.9999,304.03,303
Distributed DoS (DDoS),192.168.56.63,Multiple (303 Spoofed/Botnet IPs),Mixed,Mixed,Nhiều IP phân tán cùng dội bom 1 mục tiêu,304,1778657038.446369,1778657039.446269,0.9999,304.03,303
Distributed DoS (DDoS),192.168.56.63,Multiple (303 Spoofed/Botnet IPs),Mixed,Mixed,Nhiều IP phân tán cùng dội bom 1 mục tiêu,304,1778657038.449669,1778657039.449569,0.9999,304.03,303
Distributed DoS (DDoS),192.168.56.63,Multiple (303 Spoofed/Botnet IPs),Mixed,Mixed,Nhiều IP phân tán cùng dội bom 1 mục tiêu,304,1778657038.452969,1778657039.452869,0.9999,304.03,303
Distributed DoS (DDoS),192.168.56.63,Multiple (303 Spoofed/Botnet IPs),Mixed,Mixed,Nhiều IP phân tán cùng dội bom 1 mục tiêu,304,1778657038.456269,1778657039.456169,0.9999,304.03,303
Distributed DoS (DDoS),192.168.56.63,Multiple (303 Spoofed/Botnet IPs),Mixed,Mixed,Nhiều IP phân tán cùng dội bom 1 mục tiêu,304,1778657038.459569,1778657039.459469,0.9999,304.03,303
Distributed DoS (DDoS),192.168.56.63,Multiple (303 Spoofed/Botnet IPs),Mixed,Mixed,Nhiều IP phân tán cùng dội bom 1 mục tiêu,304,1778657038.462869,1778657039.462769,0.9999,304.03,303
Distributed DoS (DDoS),192.168.56.63,Multiple (303 Spoofed/Botnet IPs),Mixed,Mixed,Nhiều IP phân tán cùng dội bom 1 mục tiêu,304,1778657038.466169,1778657039.466069,0.9999,304.03,303
Distributed DoS (DDoS),192.168.56.63,Multiple (303 Spoofed/Botnet IPs),Mixed,Mixed,Nhiều IP phân tán cùng dội bom 1 mục tiêu,304,1778657038.469469,1778657039.469369,0.9999,304.03,303
Distributed DoS (DDoS),192.168.56.63,Multiple (303 Spoofed/Botnet IPs),Mixed,Mixed,Nhiều IP phân tán cùng dội bom 1 mục tiêu,304,1778657038.472769,1778657039.472669,0.9999,304.03,303
Distributed DoS (DDoS),192.168.56.63,Multiple (303 Spoofed/Botnet IPs),Mixed,Mixed,Nhiều IP phân tán cùng dội bom 1 mục tiêu,304,1778657038.476069,1778657039.475969,0.9999,304.03,303
Distributed DoS (DDoS),192.168.56.63,Multiple (303 Spoofed/Botnet IPs),Mixed,Mixed,Nhiều IP phân tán cùng dội bom 1 mục tiêu,304,1778657038.479369,1778657039.479269,0.9999,304.03,303
Distributed DoS (DDoS),192.168.56.63,Multiple (303 Spoofed/Botnet IPs),Mixed,Mixed,Nhiều IP phân tán cùng dội bom 1 mục tiêu,304,1778657038.482669,1778657039.482569,0.9999,304.03,303
Distributed DoS (DDoS),192.168.56.63,Multiple (303 Spoofed/Botnet IPs),Mixed,Mixed,Nhiều IP phân tán cùng dội bom 1 mục tiêu,304,1778657038.485969,1778657039.485869,0.9999,304.03,303
Distributed DoS (DDoS),192.168.56.63,Multiple (303 Spoofed/Botnet IPs),Mixed,Mixed,Nhiều IP phân tán cùng dội bom 1 mục tiêu,304,1778657038.489269,1778657039.489169,0.9999,304.03,303
Distributed DoS (DDoS),192.168.56.63,Multiple (303 Spoofed/Botnet IPs),Mixed,Mixed,Nhiều IP phân tán cùng dội bom 1 mục tiêu,304,1778657038.492569,1778657039.492469,0.9999,304.03,303
Distributed DoS (DDoS),192.168.56.63,Multiple (303 Spoofed/Botnet IPs),Mixed,Mixed,Nhiều IP phân tán cùng dội bom 1 mục tiêu,304,1778657038.495869,1778657039.495769,0.9999,304.03,303
Distributed DoS (DDoS),192.168.56.63,Multiple (303 Spoofed/Botnet IPs),Mixed,Mixed,Nhiều IP phân tán cùng dội bom 1 mục tiêu,304,1778657038.499169,1778657039.499069,0.9999,304.03,303
Distributed DoS (DDoS),192.168.56.63,Multiple (303 Spoofed/Botnet IPs),Mixed,Mixed,Nhiều IP phân tán cùng dội bom 1 mục tiêu,304,1778657038.502469,1778657039.502369,0.9999,304.03,303
Distributed DoS (DDoS),192.168.56.63,Multiple (303 Spoofed/Botnet IPs),Mixed,Mixed,Nhiều IP phân tán cùng dội bom 1 mục tiêu,304,1778657038.505769,1778657039.505669,0.9999,304.03,303
Distributed DoS (DDoS),192.168.56.63,Multiple (303 Spoofed/Botnet IPs),Mixed,Mixed,Nhiều IP phân tán cùng dội bom 1 mục tiêu,304,1778657038.509069,1778657039.508969,0.9999,304.03,303
Distributed DoS (DDoS),192.168.56.63,Multiple (303 Spoofed/Botnet IPs),Mixed,Mixed,Nhiều IP phân tán cùng dội bom 1 mục tiêu,304,1778657038.512369,1778657039.512269,0.9999,304.03,303
Distributed DoS (DDoS),192.168.56.63,Multiple (303 Spoofed/Botnet IPs),Mixed,Mixed,Nhiều IP phân tán cùng dội bom 1 mục tiêu,304,1778657038.515669,1778657039.515569,0.9999,304.03,303
Distributed DoS (DDoS),192.168.56.63,Multiple (303 Spoofed/Botnet IPs),Mixed,Mixed,Nhiều IP phân tán cùng dội bom 1 mục tiêu,304,1778657038.518969,1778657039.518869,0.9999,304.03,303
Distributed DoS (DDoS),192.168.56.63,Multiple (303 Spoofed/Botnet IPs),Mixed,Mixed,Nhiều IP phân tán cùng dội bom 1 mục tiêu,304,1778657038.522269,1778657039.522169,0.9999,304.03,303
Distributed DoS (DDoS),192.168.56.63,Multiple (303 Spoofed/Botnet IPs),Mixed,Mixed,Nhiều IP phân tán cùng dội bom 1 mục tiêu,304,1778657038.525569,1778657039.525469,0.9999,304.03,303
Distributed DoS (DDoS),192.168.56.63,Multiple (303 Spoofed/Botnet IPs),Mixed,Mixed,Nhiều IP phân tán cùng dội bom 1 mục tiêu,304,1778657038.528869,1778657039.528769,0.9999,304.03,303
Distributed DoS (DDoS),192.168.56.63,Multiple (303 Spoofed/Botnet IPs),Mixed,Mixed,Nhiều IP phân tán cùng dội bom 1 mục tiêu,304,1778657038.532169,1778657039.532069,0.9999,304.03,303
Distributed DoS (DDoS),192.168.56.63,Multiple (303 Spoofed/Botnet IPs),Mixed,Mixed,Nhiều IP phân tán cùng dội bom 1 mục tiêu,304,1778657038.535469,1778657039.535369,0.9999,304.03,303
Distributed DoS (DDoS),192.168.56.63,Multiple (303 Spoofed/Botnet IPs),Mixed,Mixed,Nhiều IP phân tán cùng dội bom 1 mục tiêu,304,1778657038.538769,1778657039.538669,0.9999,304.03,303
Distributed DoS (DDoS),192.168.56.63,Multiple (303 Spoofed/Botnet IPs),Mixed,Mixed,Nhiều IP phân tán cùng dội bom 1 mục tiêu,304,1778657038.542069,1778657039.541969,0.9999,304.03,303
Distributed DoS (DDoS),192.168.56.63,Multiple (303 Spoofed/Botnet IPs),Mixed,Mixed,Nhiều IP phân tán cùng dội bom 1 mục tiêu,304,1778657038.545369,1778657039.545269,0.9999,304.03,303
Distributed DoS (DDoS),192.168.56.63,Multiple (303 Spoofed/Botnet IPs),Mixed,Mixed,Nhiều IP phân tán cùng dội bom 1 mục tiêu,304,1778657038.548669,1778657039.548569,0.9999,304.03,303
Distributed DoS (DDoS),192.168.56.63,Multiple (303 Spoofed/Botnet IPs),Mixed,Mixed,Nhiều IP phân tán cùng dội bom 1 mục tiêu,304,1778657038.551969,1778657039.551869,0.9999,304.03,303
Distributed DoS (DDoS),192.168.56.63,Multiple (303 Spoofed/Botnet IPs),Mixed,Mixed,Nhiều IP phân tán cùng dội bom 1 mục tiêu,304,1778657038.555269,1778657039.555169,0.9999,304.03,303
Distributed DoS (DDoS),192.168.56.63,Multiple (303 Spoofed/Botnet IPs),Mixed,Mixed,Nhiều IP phân tán cùng dội bom 1 mục tiêu,304,1778657038.558569,1778657039.558469,0.9999,304.03,303
Distributed DoS (DDoS),192.168.56.63,Multiple (303 Spoofed/Botnet IPs),Mixed,Mixed,Nhiều IP phân tán cùng dội bom 1 mục tiêu,304,1778657038.561869,1778657039.561769,0.9999,304.03,303
Distributed DoS (DDoS),192.168.56.63,Multiple (303 Spoofed/Botnet IPs),Mixed,Mixed,Nhiều IP phân tán cùng dội bom 1 mục tiêu,304,1778657038.565169,1778657039.565069,0.9999,304.03,303
Distributed DoS (DDoS),192.168.56.63,Multiple (303 Spoofed/Botnet IPs),Mixed,Mixed,Nhiều IP phân tán cùng dội bom 1 mục tiêu,304,1778657038.568469,1778657039.568369,0.9999,304.03,303
Distributed DoS (DDoS),192.168.56.63,Multiple (303 Spoofed/Botnet IPs),Mixed,Mixed,Nhiều IP phân tán cùng dội bom 1 mục tiêu,304,1778657038.571769,1778657039.571669,0.9999,304.03,303
Distributed DoS (DDoS),192.168.56.63,Multiple (303 Spoofed/Botnet IPs),Mixed,Mixed,Nhiều IP phân tán cùng dội bom 1 mục tiêu,304,1778657038.575069,1778657039.574969,0.9999,304.03,303
Distributed DoS (DDoS),192.168.56.63,Multiple (303 Spoofed/Botnet IPs),Mixed,Mixed,Nhiều IP phân tán cùng dội bom 1 mục tiêu,304,1778657038.578369,1778657039.578269,0.9999,304.03,303
Distributed DoS (DDoS),192.168.56.63,Multiple (303 Spoofed/Botnet IPs),Mixed,Mixed,Nhiều IP phân tán cùng dội bom 1 mục tiêu,304,1778657038.581669,1778657039.581569,0.9999,304.03,303
Distributed DoS (DDoS),192.168.56.63,Multiple (303 Spoofed/Botnet IPs),Mixed,Mixed,Nhiều IP phân tán cùng dội bom 1 mục tiêu,304,1778657038.584969,1778657039.584869,0.9999,304.03,303
Distributed DoS (DDoS),192.168.56.63,Multiple (303 Spoofed/Botnet IPs),Mixed,Mixed,Nhiều IP phân tán cùng dội bom 1 mục tiêu,304,1778657038.588269,1778657039.588169,0.9999,304.03,303
Distributed DoS (DDoS),192.168.56.63,Multiple (303 Spoofed/Botnet IPs),Mixed,Mixed,Nhiều IP phân tán cùng dội bom 1 mục tiêu,304,1778657038.591569,1778657039.591469,0.9999,304.03,303
Distributed DoS (DDoS),192.168.56.63,Multiple (303 Spoofed/Botnet IPs),Mixed,Mixed,Nhiều IP phân tán cùng dội bom 1 mục tiêu,304,1778657038.594869,1778657039.594769,0.9999,304.03,303
Distributed DoS (DDoS),192.168.56.63,Multiple (303 Spoofed/Botnet IPs),Mixed,Mixed,Nhiều IP phân tán cùng dội bom 1 mục tiêu,304,1778657038.598169,1778657039.598069,0.9999,304.03,303
Distributed DoS (DDoS),192.168.56.63,Multiple (303 Spoofed/Botnet IPs),Mixed,Mixed,Nhiều IP phân tán cùng dội bom 1 mục tiêu,304,1778657038.601469,1778657039.601369,0.9999,304.03,303
Distributed DoS (DDoS),192.168.56.63,Multiple (303 Spoofed/Botnet IPs),Mixed,Mixed,Nhiều IP phân tán cùng dội bom 1 mục tiêu,304,1778657038.604769,1778657039.604669,0.9999,304.03,303
Distributed DoS (DDoS),192.168.56.63,Multiple (303 Spoofed/Botnet IPs),Mixed,Mixed,Nhiều IP phân tán cùng dội bom 1 mục tiêu,304,1778657038.608069,1778657039.607969,0.9999,304.03,303
Distributed DoS (DDoS),192.168.56.63,Multiple (303 Spoofed/Botnet IPs),Mixed,Mixed,Nhiều IP phân tán cùng dội bom 1 mục tiêu,304,1778657038.611369,1778657039.611269,0.9999,304.03,303
Distributed DoS (DDoS),192.168.56.63,Multiple (303 Spoofed/Botnet IPs),Mixed,Mixed,Nhiều IP phân tán cùng dội bom 1 mục tiêu,304,1778657038.614669,1778657039.614569,0.9999,304.03,303
Distributed DoS (DDoS),192.168.56.63,Multiple (303 Spoofed/Botnet IPs),Mixed,Mixed,Nhiều IP phân tán cùng dội bom 1 mục tiêu,304,1778657038.617969,1778657039.617869,0.9999,304.03,303
Distributed DoS (DDoS),192.168.56.63,Multiple (303 Spoofed/Botnet IPs),Mixed,Mixed,Nhiều IP phân tán cùng dội bom 1 mục tiêu,304,1778657038.621269,1778657039.621169,0.9999,304.03,303
Distributed DoS (DDoS),192.168.56.63,Multiple (303 Spoofed/Botnet IPs),Mixed,Mixed,Nhiều IP phân tán cùng dội bom 1 mục tiêu,304,1778657038.624569,1778657039.624469,0.9999,304.03,303
Distributed DoS (DDoS),192.168.56.63,Multiple (303 Spoofed/Botnet IPs),Mixed,Mixed,Nhiều IP phân tán cùng dội bom 1 mục tiêu,304,1778657038.627869,1778657039.627769,0.9999,304.03,303
Distributed DoS (DDoS),192.168.56.63,Multiple (303 Spoofed/Botnet IPs),Mixed,Mixed,Nhiều IP phân tán cùng dội bom 1 mục tiêu,304,1778657038.631169,1778657039.631069,0.9999,304.03,303
Distributed DoS (DDoS),192.168.56.63,Multiple (303 Spoofed/Botnet IPs),Mixed,Mixed,Nhiều IP phân tán cùng dội bom 1 mục tiêu,304,1778657038.634469,1778657039.634369,0.9999,304.03,303
Distributed DoS (DDoS),192.168.56.63,Multiple (303 Spoofed/Botnet IPs),Mixed,Mixed,Nhiều IP phân tán cùng dội bom 1 mục tiêu,304,1778657038.637769,1778657039.637669,0.9999,304.03,303
Distributed DoS (DDoS),192.168.56.63,Multiple (303 Spoofed/Botnet IPs),Mixed,Mixed,Nhiều IP phân tán cùng dội bom 1 mục tiêu,304,1778657038.641069,1778657039.640969,0.9999,304.03,303
Distributed DoS (DDoS),192.168.56.63,Multiple (303 Spoofed/Botnet IPs),Mixed,Mixed,Nhiều IP phân tán cùng dội bom 1 mục tiêu,304,1778657038.644369,1778657039.644269,0.9999,304.03,303
Distributed DoS (DDoS),192.168.56.63,Multiple (303 Spoofed/Botnet IPs),Mixed,Mixed,Nhiều IP phân tán cùng dội bom 1 mục tiêu,304,1778657038.647669,1778657039.647569,0.9999,304.03,303
Distributed DoS (DDoS),192.168.56.63,Multiple (303 Spoofed/Botnet IPs),Mixed,Mixed,Nhiều IP phân tán cùng dội bom 1 mục tiêu,304,1778657038.650969,1778657039.650869,0.9999,304.03,303
Distributed DoS (DDoS),192.168.56.63,Multiple (303 Spoofed/Botnet IPs),Mixed,Mixed,Nhiều IP phân tán cùng dội bom 1 mục tiêu,304,1778657038.654269,1778657039.654169,0.9999,304.03,303
Distributed DoS (DDoS),192.168.56.63,Multiple (303 Spoofed/Botnet IPs),Mixed,Mixed,Nhiều IP phân tán cùng dội bom 1 mục tiêu,304,1778657038.657569,1778657039.657469,0.9999,304.03,303
Distributed DoS (DDoS),192.168.56.63,Multiple (303 Spoofed/Botnet IPs),Mixed,Mixed,Nhiều IP phân tán cùng dội bom 1 mục tiêu,304,1778657038.660869,1778657039.660769,0.9999,304.03,303
Distributed DoS (DDoS),192.168.56.63,Multiple (303 Spoofed/Botnet IPs),Mixed,Mixed,Nhiều IP phân tán cùng dội bom 1 mục tiêu,304,1778657038.664169,1778657039.664069,0.9999,304.03,303
Distributed DoS (DDoS),192.168.56.63,Multiple (303 Spoofed/Botnet IPs),Mixed,Mixed,Nhiều IP phân tán cùng dội bom 1 mục tiêu,304,1778657038.667469,1778657039.667369,0.9999,304.03,303
